sex,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,total
2010,3951430,3957730,4090621,4111688,4077346,4064521,4072904,4042990,4025502,4125312,4186957,4115419,4113237,4119551,4145478,4230871,4313059,4376154,4490362,4570771,4567982,4387446,4286369,4216566,4243118,4288920,4160369,4236698,4247187,4209988,4303926,4042249,3967254,3933189,3821850,3947964,3829828,3896345,4079778,4323965,4386945,4163043,4082337,4093405,4178062,4438112,4529302,4535096,4534267,4598676,4645792,4498619,4480236,4439092,4288142,4258615,4092857,3946260,3802193,3694048,3616506,3519939,3494915,3652013,2705937,2678384,2621243,2693617,2359748,2167780,2062528,1953545,1883778,1750273,1685969,1631858,1481686,1449144,1402187,1354927,1319737,1212614,1158364,1081451,987041,915028,821557,721221,636663,546207,448338,344452,288836,219062,170780,131081,97166,68894,47034,32179,54410,309326085,2018474,2020235,2088545,2101149,2084214,2076481,2079365,2063100,2054386,2106966,2142102,2104759,2103622,2104896,2122849,2170359,2214899,2252708,2305396,2334596,2331596,2240843,2187907,2150744,2161093,2176904,2102105,2134977,2134787,2112134,2167253,2026266,1985973,1963430,1908550,1974444,1907175,1934291,2027789,2148448,2189231,2073699,2031573,2030765,2074347,2201662,2238568,2237752,2235091,2262232,2290656,2209609,2196979,2170772,2091480,2075036,1984306,1909865,1838559,1779382,1742122,1691320,1678985,1753823,1291793,1272621,1239751,1270098,1105672,1006753,954041,903220,862506,794626,758812,725646,653546,630851,602780,573882,549223,496069,462808,423007,375690,337664,295388,253628,216222,180466,141391,104287,83457,60180,43824,31736,22022,14774,9501,6106,9353,152077018,1932956,1937495,2002076,2010539,1993132,1988040,1993539,1979890,1971116,2018346,2044855,2010660,2009615,2014655,2022629,2060512,2098160,2123446,2184966,2236175,2236386,2146603,2098462,2065822,2082025,2112016,2058264,2101721,2112400,2097854,2136673,2015983,1981281,1969759,1913300,1973520,1922653,1962054,2051989,2175517,2197714,2089344,2050764,2062640,2103715,2236450,2290734,2297344,2299176,2336444,2355136,2289010,2283257,2268320,2196662,2183579,2108551,2036395,1963634,1914666,1874384,1828619,1815930,1898190,1414144,1405763,1381492,1423519,1254076,1161027,1108487,1050325,1021272,955647,927157,906212,828140,818293,799407,781045,770514,716545,695556,658444,611351,577364,526169,467593,420441,365741,306947,240165,205379,158882,126956,99345,75144,54120,37533,26073,45057,157249067
2011,3963092,3966225,3970654,4101644,4121488,4087054,4074533,4082824,4052777,4035330,4135289,4197147,4125764,4123876,4130934,4158361,4246797,4334275,4401361,4518285,4598254,4594238,4413183,4312279,4242222,4267974,4311761,4181532,4256204,4264567,4225300,4317294,4053592,3977570,3942114,3829864,3954144,3834765,3899899,4082351,4324162,4385306,4160611,4079076,4089258,4171964,4430147,4519326,4523052,4520386,4582646,4628125,4479451,4459275,4416457,4264196,4233621,4066825,3919214,3774178,3665273,3586699,3488021,3459942,3613032,2674636,2645187,2585272,2653141,2321074,2128951,2022303,1911721,1839514,1705013,1638171,1580932,1430449,1394194,1343437,1292169,1252185,1143712,1085157,1005202,909276,834819,741394,643159,560012,473804,382641,289218,238006,176651,135042,101251,73260,50661,33632,57703,311580009,2028430,2025272,2026391,2093789,2105836,2089022,2081475,2084121,2067752,2058993,2111581,2146791,2109471,2108654,2110397,2129082,2178520,2226169,2265850,2320135,2348694,2344395,2252173,2198326,2160503,2169696,2184501,2109180,2141409,2140652,2117270,2171683,2029857,1989386,1966037,1910820,1975802,1907979,1934316,2027628,2146782,2186386,2070786,2028346,2027001,2069350,2195758,2231572,2229442,2225712,2251649,2278980,2197076,2183189,2155935,2075876,2058668,1967418,1892244,1820415,1760762,1723174,1671569,1657534,1730300,1272793,1252746,1218496,1246288,1083202,984544,931237,879663,837848,769721,732756,698281,626376,602127,572489,542052,515531,462341,427912,387570,340687,302823,261663,221743,186092,152989,117712,85334,66888,47153,33599,23796,16108,10555,6604,10144,153211825,1934662,1940953,1944263,2007855,2015652,1998032,1993058,1998703,1985025,1976337,2023708,2050356,2016293,2015222,2020537,2029279,2068277,2108106,2135511,2198150,2249560,2249843,2161010,2113953,2081719,2098278,2127260,2072352,2114795,2123915,2108030,2145611,2023735,1988184,1976077,1919044,1978342,1926786,1965583,2054723,2177380,2198920,2089825,2050730,2062257,2102614,2234389,2287754,2293610,2294674,2330997,2349145,2282375,2276086,2260522,2188320,2174953,2099407,2026970,1953763,1904511,1863525,1816452,1802408,1882732,1401843,1392441,1366776,1406853,1237872,1144407,1091066,1032058,1001666,935292,905415,882651,804073,792067,770948,750117,736654,681371,657245,617632,568589,531996,479731,421416,373920,320815,264929,203884,171118,129498,101443,77455,57152,40106,27028,47559,158368184
2012,3926570,3977550,3978924,3981532,4111490,4131049,4096633,4084179,4092566,4062734,4045469,4145757,4207720,4136225,4134916,4143301,4173683,4267257,4358454,4427572,4546565,4629781,4625563,4443715,4342062,4271553,4295651,4337435,4204927,4277615,4283270,4241565,4331495,4065734,3988622,3951867,3837924,3960899,3840318,3903922,4084648,4324443,4384058,4158255,4075927,4084573,4165313,4421446,4508452,4510206,4505720,4565482,4608768,4458809,4437155,4392433,4239081,4207066,4039562,3891097,3744816,3634742,3554736,3453979,3423248,3572333,2641789,2609972,2546904,2610392,2280611,2088775,1980516,1868201,1793547,1658243,1588625,1528226,1377628,1337551,1282872,1227637,1183074,1073311,1010674,928296,831653,755792,663520,568485,487817,406758,322900,240088,193754,140608,105384,77147,54488,36765,61803,313874218,2007743,2035214,2031333,2031551,2098501,2110630,2093846,2086088,2088716,2072434,2063710,2116398,2151652,2114519,2114080,2116501,2137004,2189283,2238704,2279724,2335801,2366673,2361225,2267594,2212337,2173964,2182419,2195886,2119495,2151210,2149143,2124527,2178064,2035011,1994116,1970201,1913869,1978180,1909739,1935240,2027692,2145819,2184544,2068223,2025279,2023312,2064659,2189757,2224095,2220810,2216015,2240246,2266381,2183683,2168911,2140389,2059532,2041319,1949778,1874009,1801554,1741295,1703085,1650723,1635318,1705773,1253089,1231659,1195906,1221406,1060065,961716,907695,855287,812451,744173,706048,670314,598654,572895,541689,509737,481577,428512,393108,352591,306571,269346,229739,192051,158533,128314,96846,69033,52954,36489,25436,17618,11645,7460,11150,154396283,1918827,1942336,1947591,1949981,2012989,2020419,2002787,1998091,2003850,1990300,1981759,2029359,2056068,2021706,2020836,2026800,2036679,2077974,2119750,2147848,2210764,2263108,2264338,2176121,2129725,2097589,2113232,2141549,2085432,2126405,2134127,2117038,2153431,2030723,1994506,1981666,1924055,1982719,1930579,1968682,2056956,2178624,2199514,2090032,2050648,2061261,2100654,2231689,2284357,2289396,2289705,2325236,2342387,2275126,2268244,2252044,2179549,2165747,2089784,2017088,1943262,1893447,1851651,1803256,1787930,1866560,1388700,1378313,1350998,1388986,1220546,1127059,1072821,1012914,981096,914070,882577,857912,778974,764656,741183,717900,701497,644799,617566,575705,525082,486446,433781,376434,329284,278444,226054,171055,140800,104119,79948,59529,42843,29305,50653,159477935
2013,3931258,3942696,3991745,3991019,3992496,4121876,4141130,4106760,4094521,4103065,4072986,4055866,4156304,4218387,4147757,4148033,4159459,4194516,4292191,4384726,4452932,4573739,4660176,4655563,4472295,4369332,4297710,4320571,4359532,4225749,4296809,4299447,4255692,4343476,4075870,3997698,3959048,3844203,3965886,3844285,3906127,4085581,4323279,4380908,4154366,4070522,4077717,4157081,4410792,4495612,4495099,4488150,4545746,4587606,4436394,4412604,4365668,4211538,4177929,4009527,3860100,3712717,3601304,3519573,3416465,3383252,3527836,2606024,2571601,2505262,2563981,2236637,2044816,1934694,1820505,1743292,1607051,1534528,1470808,1320178,1276090,1217537,1158273,1108791,997909,931565,847475,751027,674795,584825,494117,417092,342273,266525,194772,153823,108873,79912,56992,39248,66139,316057727,2009724,2015720,2042268,2037081,2036782,2103606,2115672,2098705,2090823,2093580,2077256,2068643,2121417,2156833,2120218,2120657,2124859,2148029,2202467,2252714,2293201,2349953,2382388,2375806,2280649,2224097,2185046,2193168,2205163,2128510,2159534,2156290,2130833,2183095,2039053,1997672,1972420,1915689,1979408,1910632,1935245,2027076,2143934,2181430,2064715,2020951,2018335,2058787,2182319,2215408,2210678,2204455,2227525,2252624,2169210,2153054,2123185,2041913,2022544,1930382,1854196,1781209,1720137,1680940,1627607,1611115,1679066,1231738,1209022,1171820,1194739,1034974,936886,882090,828872,784977,716553,677294,640230,568944,541617,508906,475562,445788,393067,357018,316753,272060,235944,198357,163349,132372,105351,77821,54516,40837,27439,18681,12646,8150,12273,155514347,1921534,1926976,1949477,1953938,1955714,2018270,2025458,2008055,2003698,2009485,1995730,1987223,2034887,2061554,2027539,2027376,2034600,2046487,2089724,2132012,2159731,2223786,2277788,2279757,2191646,2145235,2112664,2127403,2154369,2097239,2137275,2143157,2124859,2160381,2036817,2000026,1986628,1928514,1986478,1933653,1970882,2058505,2179345,2199478,2089651,2049571,2059382,2098294,2228473,2280204,2284421,2283695,2318221,2334982,2267184,2259550,2242483,2169625,2155385,2079145,2005904,1931508,1881167,1838633,1788858,1772137,1848770,1374286,1362579,1333442,1369242,1201663,1107930,1052604,991633,958315,890498,857234,830578,751234,734473,708631,682711,663003,604842,574547,530722,478967,438851,386468,330768,284720,236922,188704,140256,112986,81434,61231,44346,31098,53866,160543380
2014,3954786,3948892,3958708,4005932,4004035,4004571,4133374,4152671,4118353,4106085,4114582,4084486,4067268,4168198,4231541,4163079,4166238,4182293,4221746,4321249,4411460,4480861,4604726,4692962,4687077,4502023,4398014,4325770,4346330,4383356,4248227,4315821,4315699,4269846,4355717,4085952,4006330,3966497,3850942,3971497,3848087,3908070,4086109,4321631,4377751,4149789,4064470,4070739,4147945,4399110,4481212,4478223,4469592,4525069,4564933,4412051,4385972,4337386,4182257,4147266,3977732,3826919,3678575,3565726,3482828,3377646,3341609,3480983,2568311,2531221,2462460,2517174,2192013,1999978,1887914,1772007,1692284,1555048,1479551,1412549,1262012,1214231,1151948,1088632,1034570,923190,853929,769072,673928,598390,511592,426027,353533,285467,217821,156572,120940,83389,59979,41679,72136,318386421,2024510,2018513,2023750,2049251,2043528,2042786,2109357,2121430,2104331,2096382,2099051,2082849,2074315,2127338,2163573,2128124,2130073,2136860,2162271,2218097,2266737,2307313,2365346,2398453,2390079,2293548,2236677,2197381,2204570,2215778,2138487,2168145,2163823,2137089,2188226,2043201,2000888,1974933,1917835,1981213,1911625,1935214,2026315,2141952,2178426,2060846,2016231,2013213,2052376,2174363,2205872,2199644,2192495,2214176,2237870,2153432,2135769,2104858,2022937,2002641,1909900,1832858,1759258,1697523,1657978,1603988,1586232,1651225,1209280,1185270,1146943,1167821,1009446,911650,856115,802083,757206,688704,648218,609889,539014,510281,476217,441560,410436,358403,322082,282503,239587,205009,169753,137627,109402,85608,61813,42617,31144,20388,13560,8982,13703,156697642,1930276,1930379,1934958,1956681,1960507,1961785,2024017,2031241,2014022,2009703,2015531,2001637,1992953,2040860,2067968,2034955,2036165,2045433,2059475,2103152,2144723,2173548,2239380,2294509,2296998,2208475,2161337,2128389,2141760,2167578,2109740,2147676,2151876,2132757,2167491,2042751,2005442,1991564,1933107,1990284,1936462,1972856,2059794,2179679,2199325,2088943,2048239,2057526,2095569,2224747,2275340,2278579,2277097,2310893,2327063,2258619,2250203,2232528,2159320,2144625,2067832,1994061,1919317,1868203,1824850,1773658,1755377,1829758,1359031,1345951,1315517,1349353,1182567,1088328,1031799,969924,935078,866344,831333,802660,722998,703950,675731,647072,624134,564787,531847,486569,434341,393381,341839,288400,244131,199859,156008,113955,89796,63001,46419,32697,58433,161688779
2015,3983965,3973192,3966330,3974354,4020264,4017585,4017408,4145890,4165010,4130850,4118758,4126853,4096692,4080243,4182341,4248058,4182107,4189775,4211012,4252218,4349935,4441331,4514270,4639623,4727273,4720482,4534640,4429797,4355768,4374175,4409166,4271733,4336582,4334080,4286357,4369587,4097338,4016464,3975186,3858343,3976967,3852433,3910645,4086686,4320358,4373961,4144580,4058161,4062643,4137833,4385725,4465234,4460502,4449929,4502864,4540553,4385823,4357770,4307288,4151179,4114449,3943386,3791492,3641819,3527662,3443249,3336059,3296821,3431071,2527820,2487798,2416513,2465904,2142810,1950617,1836635,1718862,1636338,1498120,1419595,1349127,1199043,1147239,1080801,1013576,955170,844041,772675,688044,595185,521392,438974,359665,292763,232218,173128,122354,92140,61687,43464,76798,320742673,2037643,2033709,2027455,2031614,2056377,2050282,2049269,2115700,2127673,2110629,2102659,2105239,2089028,2080793,2134547,2172003,2137939,2142389,2152179,2179093,2233576,2282517,2324623,2382897,2414932,2405454,2308343,2251108,2211453,2217929,2228011,2150105,2178643,2172840,2144864,2194562,2048178,2005183,1978349,1920619,1983091,1912805,1935464,2025757,2140291,2175121,2056693,2011534,2007604,2045463,2165544,2195423,2188213,2179737,2199599,2221954,2136505,2117662,2085597,2002834,1981423,1887794,1810263,1735951,1673658,1633701,1578771,1559379,1621545,1185337,1160063,1120566,1138608,981728,884319,828018,773254,727331,658622,616955,577353,507126,476964,441480,405734,373541,322633,286518,248104,207440,174869,142373,113480,88290,67846,47736,32422,23045,14663,9516,15059,157910775,1946322,1939483,1938875,1942740,1963887,1967303,1968139,2030190,2037337,2020221,2016099,2021614,2007664,1999450,2047794,2076055,2044168,2047386,2058833,2073125,2116359,2158814,2189647,2256726,2312341,2315028,2226297,2178689,2144315,2156246,2181155,2121628,2157939,2161240,2141493,2175025,2049160,2011281,1996837,1937724,1993876,1939628,1975181,2060929,2180067,2198840,2087887,2046627,2055039,2092370,2220181,2269811,2272289,2270192,2303265,2318599,2249318,2240108,2221691,2148345,2133026,2055592,1981229,1905868,1854004,1809548,1757288,1737442,1809526,1342483,1327735,1295947,1327296,1161082,1066298,1008617,945608,909007,839498,802640,771774,691917,670275,639321,607842,581629,521408,486157,439940,387745,346523,296601,246185,204473,164372,125392,89932,69095,47024,33948,61739,162831898
2016,3955192,4003594,3991543,3982719,3989317,4034325,4030894,4030394,4158761,4178022,4144072,4131514,4139568,4110339,4095187,4199515,4267900,4206845,4219736,4241532,4280974,4379876,4474812,4549421,4673465,4760640,4752063,4565290,4458321,4382285,4399278,4431220,4291082,4353926,4349411,4299148,4379832,4106086,4024381,3981529,3863180,3980464,3854650,3910593,4085258,4316196,4368043,4137815,4049911,4052713,4125155,4370171,4447792,4440759,4428032,4478253,4513951,4357590,4327523,4275027,4117822,4079088,3907097,3753816,3602450,3487278,3401348,3291714,3249412,3377704,2485189,2443419,2369270,2412822,2091825,1899583,1783719,1664040,1578721,1439602,1358070,1284470,1134886,1079060,1008889,938258,876311,766435,693994,610573,520996,450017,372864,300374,239615,186678,135740,94466,69296,44967,82379,323071342,2021693,2047521,2043165,2035766,2039084,2063414,2057031,2055836,2122190,2134235,2117162,2109124,2111734,2095866,2088424,2143316,2182224,2150928,2158419,2168557,2194194,2248997,2299500,2342064,2398533,2430029,2419331,2321904,2263961,2223644,2229540,2238557,2159517,2186666,2179705,2150464,2198549,2051368,2007943,1980240,1921928,1983519,1912705,1934366,2023807,2136459,2170380,2051606,2005602,2000754,2036876,2155255,2183985,2175310,2165344,2183614,2204850,2118381,2098260,2064932,1981382,1958678,1864672,1786325,1711138,1648673,1608149,1552195,1531196,1590002,1160428,1134475,1093524,1108568,953290,856260,799299,743766,696684,627911,585150,544430,474935,443433,406835,370342,337507,288152,252708,215899,177824,147570,118076,92464,70332,53099,36318,24377,16824,10391,16493,159088102,1933499,1956073,1948378,1946953,1950233,1970911,1973863,1974558,2036571,2043787,2026910,2022390,2027834,2014473,2006763,2056199,2085676,2055917,2061317,2072975,2086780,2130879,2175312,2207357,2274932,2330611,2332732,2243386,2194360,2158641,2169738,2192663,2131565,2167260,2169706,2148684,2181283,2054718,2016438,2001289,1941252,1996945,1941945,1976227,2061451,2179737,2197663,2086209,2044309,2051959,2088279,2214916,2263807,2265449,2262688,2294639,2309101,2239209,2229263,2210095,2136440,2120410,2042425,1967491,1891312,1838605,1793199,1739519,1718216,1787702,1324761,1308944,1275746,1304254,1138535,1043323,984420,920274,882037,811691,772920,740040,659951,635627,602054,567916,538804,478283,441286,394674,343172,302447,254788,207910,169283,133579,99422,70089,52472,34576,65886,163983240
2017,3893945,3973803,4020825,4006802,3996592,4002285,4046625,4042957,4042250,4170820,4190254,4155802,4143257,4152283,4124198,4111285,4218086,4290946,4234551,4248464,4266986,4306515,4408804,4504903,4578456,4701396,4787673,4777879,4588903,4480324,4402859,4417496,4446712,4305136,4366240,4358839,4306255,4385828,4111226,4028306,3983824,3864969,3980816,3853250,3907893,4080348,4309081,4359465,4128210,4039082,4039446,4109944,4352576,4427431,4418178,4403109,4451318,4484471,4326625,4294387,4239714,4081356,4040739,3867581,3712619,3560160,3444063,3356013,3244182,3198582,3320393,2440099,2395620,2318273,2355298,2036694,1844686,1726841,1605304,1517003,1377095,1292937,1215766,1067044,1007456,933883,860644,795887,688305,615862,534601,449471,382354,311381,246146,192195,146772,103947,71460,50722,86784,325147121,1991849,2031036,2056328,2050824,2042707,2045608,2069663,2063187,2061858,2128306,2140293,2123122,2115126,2118067,2102906,2096690,2152936,2194348,2165658,2173863,2181385,2206569,2262883,2313281,2354506,2410032,2441090,2429709,2331697,2273373,2232572,2237945,2245784,2165649,2191802,2183195,2152568,2200099,2052409,2008416,1980069,1921339,1982205,1910842,1931620,2019696,2131223,2164250,2044963,1998310,1992020,2027025,2143940,2170769,2160713,2149254,2166333,2186051,2098626,2076940,2042360,1958114,1934180,1839800,1760630,1684992,1622470,1580939,1523933,1501234,1556705,1134416,1107104,1064688,1076512,922912,826485,768829,712433,664209,595525,551854,509900,441402,408807,371378,334595,301537,254213,219957,185143,150051,122436,96180,73836,54872,40608,26978,17985,11958,17943,160125630,1902096,1942767,1964497,1955978,1953885,1956677,1976962,1979770,1980392,2042514,2049961,2032680,2028131,2034216,2021292,2014595,2065150,2096598,2068893,2074601,2085601,2099946,2145921,2191622,2223950,2291364,2346583,2348170,2257206,2206951,2170287,2179551,2200928,2139487,2174438,2175644,2153687,2185729,2058817,2019890,2003755,1943630,1998611,1942408,1976273,2060652,2177858,2195215,2083247,2040772,2047426,2082919,2208636,2256662,2257465,2253855,2284985,2298420,2227999,2217447,2197354,2123242,2106559,2027781,1951989,1875168,1821593,1775074,1720249,1697348,1763688,1305683,1288516,1253585,1278786,1113782,1018201,958012,892871,852794,781570,741083,705866,625642,598649,562505,526049,494350,434092,395905,349458,299420,259918,215201,172310,137323,106164,76969,53475,38764,68841,165021491
2018,3848208,3912900,3991437,4036562,4021168,4010118,4015259,4059363,4055624,4055278,4184077,4203007,4168485,4156887,4167071,4141218,4130744,4241936,4319722,4263601,4273822,4292514,4334743,4438724,4533776,4606281,4728714,4813980,4801711,4611070,4501282,4421549,4433749,4461246,4318192,4376401,4366923,4313086,4391406,4115771,4031314,3986156,3866067,3979609,3851155,3904041,4074459,4301318,4349714,4117603,4026474,4025069,4094079,4333375,4405567,4393983,4377130,4422810,4453038,4294024,4259361,4202894,4043396,4000235,3825765,3669600,3516436,3398755,3307833,3194269,3144466,3260552,2392283,2344633,2263489,2293604,1978012,1786181,1666402,1542867,1451583,1311488,1224165,1143669,996403,933260,857115,781990,715379,611251,539658,461798,382081,319838,255397,198075,150910,113174,77872,52778,93927,327167434,1968505,2001387,2040071,2064235,2058004,2049511,2052229,2076156,2069621,2068473,2134896,2146785,2129623,2121925,2125611,2111626,2106746,2165445,2209794,2181297,2186613,2193614,2219586,2276330,2325404,2365722,2421037,2451655,2439423,2341001,2282299,2241062,2245454,2252017,2171039,2195500,2185835,2154545,2201174,2053136,2008548,1979715,1920426,1980368,1908353,1928049,2015066,2125627,2157491,2037762,1989936,1982590,2016677,2131415,2156589,2145020,2132558,2148167,2165907,2077675,2054540,2018812,1933853,1908640,1813691,1734093,1658451,1595396,1552348,1494525,1469752,1522210,1106964,1078210,1034136,1042460,890943,795142,736686,679443,630172,561875,517114,474179,407026,373553,335767,299120,266294,221521,188838,156443,124601,99922,76838,57897,41849,30486,19597,12985,19982,161128679,1879703,1911513,1951366,1972327,1963164,1960607,1963030,1983207,1986003,1986805,2049181,2056222,2038862,2034962,2041460,2029592,2023998,2076491,2109928,2082304,2087209,2098900,2115157,2162394,2208372,2240559,2307677,2362325,2362288,2270069,2218983,2180487,2188295,2209229,2147153,2180901,2181088,2158541,2190232,2062635,2022766,2006441,1945641,1999241,1942802,1975992,2059393,2175691,2192223,2079841,2036538,2042479,2077402,2201960,2248978,2248963,2244572,2274643,2287131,2216349,2204821,2184082,2109543,2091595,2012074,1935507,1857985,1803359,1755485,1699744,1674714,1738342,1285319,1266423,1229353,1251144,1087069,991039,929716,863424,821411,749613,707051,669490,589377,559707,521348,482870,449085,389730,350820,305355,257480,219916,178559,140178,109061,82688,58275,39793,73945,166038755
